Vitesse,Temps,Profondeur,Nodal moyenne deformation,Max deformation,Min contrainte,Max contrainte,Moy contrainte
20,0.000050002,1,0.017011,0.86275,-89969000,39991000,-17066000
20,0.0001,1,0.033736,1.1374,-108150000,53966000,-20423000
20,0.00015,1,0.041062,1.1981,-119220000,74524000,-17494000
20,0.0002,1,0.047572,1.2408,-99241000,78407000,-16428000
20,0.00025,1,0.050561,1.2451,-92558000,61198000,-16275000
20,0.0003,1,0.058471,1.2011,-97468000,59661000,-17091000
20,0.00035,1,0.068243,1.2086,-97678000,65213000,-17946000
20,0.0004,1,0.080339,1.2086,-106790000,61089000,-17681000
20,0.00045,1,0.088556,1.2086,-107540000,72644000,-10926000
20,0.0005,1,0.096889,1.2086,-99864000,91445000,-10088000
20,0.00055,1,0.096882,1.2181,-55288000,62686000,939300
20,0.0006,1,0.096858,1.2181,-53973000,62686000,229720
20,0.00065,1,0.096858,1.2181,-54718000,62686000,-76422
20,0.0007,1,0.096844,1.2181,-54182000,62686000,-77308
20,0.00075,1,0.096666,1.2181,-54480000,62686000,13256
20,0.0008,1,0.096639,1.2181,-54457000,62686000,7290.2
20,0.00085,1,0.096639,1.2181,-54444000,62686000,1743.4
20,0.0009,1,0.096639,1.2181,-54729000,62686000,1263.2
20,0.00095,1,0.096635,1.2181,-54721000,62686000,-5112
20,0.001,1,0.096635,1.2181,-54646000,62686000,-14753
40,0.00002501,1,0.0052839,0.52028,-84003000,39840000,-11261000
40,0.000050002,1,0.017011,0.86275,-89969000,39991000,-17066000
40,0.000075003,1,0.029101,1.1443,-88730000,39991000,-20067000
40,0.0001,1,0.033736,1.1374,-108150000,53966000,-20423000
40,0.000125,1,0.038162,1.204,-94243000,83788000,-19607000
40,0.00015,1,0.041062,1.1981,-119220000,74524000,-17494000
40,0.000175,1,0.044688,1.2357,-94337000,57568000,-19019000
40,0.0002,1,0.047572,1.2408,-99241000,78407000,-16428000
40,0.000225,1,0.04799,1.2458,-84163000,66497000,-14287000
40,0.00025,1,0.050561,1.2451,-92558000,61198000,-16275000
40,0.000275,1,0.054214,1.2452,-97209000,79236000,-17130000
40,0.0003,1,0.058471,1.2011,-97468000,59661000,-17091000
40,0.000325,1,0.063012,1.2011,-101420000,59926000,-18138000
40,0.00035,1,0.068243,1.2086,-97678000,65213000,-17946000
40,0.000375,1,0.073672,1.2086,-96078000,49803000,-17145000
40,0.0004,1,0.080339,1.2086,-106790000,61089000,-17681000
40,0.000425,1,0.0844,1.2086,-107750000,70599000,-14113000
40,0.00045,1,0.088556,1.2086,-107540000,72644000,-10926000
40,0.000475,1,0.093135,1.2086,-100240000,68359000,-10826000
40,0.0005,1,0.096889,1.2086,-99864000,91445000,-10088000
70,7.01E-06,1,4.33E-06,0.0015872,-89928000,68521000,-55873
70,0.000014007,1,0.00065849,0.1561,-81125000,44958000,-2919500
70,0.000021005,1,0.0034017,0.39479,-85269000,39303000,-13066000
70,0.000028007,1,0.0063525,0.55829,-83469000,40050000,-10506000
70,0.000035009,1,0.0092059,0.69488,-87095000,55266000,-14356000
70,0.000042001,1,0.012467,0.78176,-83745000,39988000,-13648000
70,0.00004901,1,0.016372,0.87305,-90563000,39991000,-16830000
